ENSEMBL	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
ENSG00000126464	2.4334978974418484	2.0394576721244433	2.368901139193094	214.0703180219155	5.445787007718736e-28	1.4382054694351754e-27
ENSG00000132376	1.6947559574648676	1.3088922509791416	1.631499612139339	214.06873975036407	5.446840771458134e-28	1.4382054694351754e-27
ENSG00000270816	-0.2604934929553112	-0.31433705819068486	-0.2693203069283233	214.06842248459594	5.447052625563219e-28	1.4382054694351754e-27
ENSG00000091527	1.7644936642489166	2.3652192007654804	1.8629732603991735	214.06649974565445	5.448336716010123e-28	1.4383551556706466e-27
ENSG00000143365	0.3173136321298982	0.34683520135640494	0.32215323364244036	214.00102297136814	5.492252251263359e-28	1.4497579777749135e-27
ENSG00000132646	21.710213839525768	21.002607663370554	21.594212827041307	213.9307538123698	5.539789204151495e-28	1.4621135975583944e-27
ENSG00000000460	0.9220429858428633	1.2100494024253308	0.969257152495727	213.87883102781382	5.575187901335175e-28	1.471262744068135e-27
ENSG00000163958	0.27132851496816346	0.3475502862681701	0.28382388731242686	213.8730149230621	5.579167601083783e-28	1.4721192659825858e-27
ENSG00000105258	8.675729848510418	11.401913402236257	9.122645185186787	213.86716311114452	5.583174696593897e-28	1.4729827902510814e-27
ENSG00000145908	11.14215232184585	9.152698948744643	10.816012424616146	213.83502766869543	5.605232885748036e-28	1.4786077963509483e-27
ENSG00000246145	-0.16618298552974106	-0.11501857138715824	-0.15779537665390783	213.74515641941036	5.6674010927585545e-28	1.4948105775429454e-27
ENSG00000155265	1.152028502611316	0.8034561811984968	1.094885499101018	213.71528627901174	5.688221104811824e-28	1.5001047005668104e-27
ENSG00000185022	2.070013126056287	11.891667372633998	3.6801203795936175	213.6973857818815	5.700735927884102e-28	1.5032074647599729e-27
ENSG00000090621	16.27766591619265	22.212496982639184	17.250589041839625	213.6901083206524	5.705831971618972e-28	1.5043534379228354e-27
ENSG00000123570	4.067194390628927	2.979251201100414	3.88884304808327	213.6577902152436	5.728519670505565e-28	1.5101365734971032e-27
ENSG00000100243	7.217306948508791	8.900557964330538	7.493249737987767	213.63113668620016	5.747300909458489e-28	1.5148885141293134e-27
ENSG00000023287	12.496736360930123	10.630566467999929	12.19080687028583	213.4979687309698	5.842094618075962e-28	1.5396721374524506e-27
ENSG00000243710	0.3688679540927542	0.4575394793210126	0.38340426970394414	213.4854285192887	5.851104036442731e-28	1.5418439436985337e-27
ENSG00000167842	6.305461366887652	4.840640127978155	6.065326737558227	213.48054895765236	5.854613599299565e-28	1.5425660844397276e-27
ENSG00000165526	5.184623401615899	6.580367589239263	5.413433924177108	213.4573594850621	5.871322093603041e-28	1.546765216199955e-27
ENSG00000158201	1.5138593586598874	2.140067735753482	1.6165164696588374	213.33844716311455	5.957778442554393e-28	1.5693354930899779e-27
ENSG00000102763	1.54232325205146	1.5438686262679258	1.5425765920869463	213.31732207999676	5.973274741869979e-28	1.573210744884364e-27
ENSG00000176438	0.597899931507049	0.5900325041420027	0.5966101893160579	213.27810285470196	6.002154540946917e-28	1.5806093943438993e-27
ENSG00000174231	15.014031635182194	13.291170723241049	14.731595420109876	213.25972705272744	6.015735507435476e-28	1.5839778303416819e-27
ENSG00000214765	2.0866313871592705	1.529774284299621	1.9953433375101484	213.2255195777628	6.041101804218943e-28	1.5904481200500805e-27
ENSG00000137275	0.930205766230649	0.9553083724334932	0.9343209475753776	213.14153249605437	6.103851748776158e-28	1.6067574573232003e-27
ENSG00000170919	0.8247527521751795	1.2838373410642092	0.9000125208455124	213.1299226004376	6.112578786042745e-28	1.6088435712975497e-27
ENSG00000265688	2.048050099267475	1.63220436385815	1.97987866723316	213.12234044956492	6.118285169246571e-28	1.6101341996379638e-27
ENSG00000133134	34.81278034120728	28.757879664288033	33.82017367285987	213.0839587114544	6.147256138613198e-28	1.617546170506774e-27
ENSG00000061938	0.42382096555654364	0.3599828633138349	0.41335570289380463	213.05160357754085	6.171788273163558e-28	1.623788345881783e-27
ENSG00000100836	5.168744859748194	5.722363093820809	5.259501947301081	213.04073952463148	6.180048227700675e-28	1.6257482588505344e-27
ENSG00000232593	5.113925346939747	4.15835497772529	4.957274466740656	212.9995351306736	6.211479960558899e-28	1.6336851852719043e-27
ENSG00000067533	2.4827837127369397	2.6835544281117496	2.515696944765597	212.99905336899315	6.211848435821471e-28	1.6336851852719043e-27
ENSG00000198794	3.7944606158867833	3.674723379643668	3.7748315607649614	212.94395598949296	6.254139028494987e-28	1.644591744532522e-27
ENSG00000174450	0.5574281952539758	0.7838413175946901	0.5945451005557324	212.94152105700135	6.256014838374014e-28	1.6448693444995966e-27
